freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,DE048C	80923 	81128 	81916 	84674 	84070 	84557 	85181 	85707 	85686 	: 
A,DE1001V,DE049C	83462 	83971 	84694 	85942 	87432 	88519 	89504 	90164 	89934 	: 
A,DE1001V,DE050C	72433 	73125 	73147 	73836 	74675 	76226 	76851 	77129 	76401 	: 
A,DE1001V,DE051C	79645 	81141 	81692 	82859 	83789 	84441 	84760 	84911 	84446 	: 
A,DE1001V,DE052C	76951 	77058 	77588 	79197 	79680 	79335 	79487 	80196 	79905 	: 
A,DE1001V,DE053C	71149 	71032 	71032 	71574 	71664 	71886 	72124 	72184 	72040 	: 
A,DE1001V,DE054C	76680 	77733 	83280 	84455 	86543 	87343 	88546 	89802 	90131 	: 
A,DE1001V,DE055C	74121 	71668 	72546 	74072 	74494 	75192 	75351 	75711 	75301 	: 
A,DE1001V,DE056C	71482 	71572 	71601 	72148 	73065 	73999 	74657 	74783 	74048 	: 
A,DE1001V,DE057C	69871 	68508 	68721 	69748 	69561 	69706 	69602 	69540 	69399 	: 
A,DE1001V,DE058C	67681 	67844 	68167 	68986 	69187 	69928 	70527 	71002 	70858 	: 
A,DE1001V,DE059C	70863 	71167 	71952 	73331 	75743 	77179 	77592 	77373 	76674 	: 
A,DE1001V,DE060C	64218 	63967 	64077 	65201 	65049 	65148 	64931 	64597 	64014 	: 
A,DE1001V,DE061C	63509 	63437 	63311 	63602 	63794 	64259 	64086 	63761 	63372 	: 
A,DE1001V,DE062C	64779 	65036 	65540 	67253 	67466 	67973 	68586 	68635 	67980 	: 
A,DE1001V,DE063C	64625 	65044 	65624 	66947 	67529 	68330 	68907 	69151 	68940 	: 
A,DE1001V,DE064C	65322 	66179 	67509 	69211 	70025 	71193 	72404 	73411 	73065 	: 
A,DE1001V,DE065C	60795 	61669 	62215 	63971 	64159 	64599 	64858 	64905 	64595 	: 
A,DE1001V,DE066C	59935 	60464 	60889 	61844 	62672 	63080 	63324 	63551 	63591 	: 
A,DE1001V,DE067C	47035 	47332 	47724 	48363 	48445 	48417 	48561 	48762 	48750 	: 
A,DE1001V,DE068C	57357 	57301 	57525 	58041 	59101 	59517 	59421 	59418 	59205 	: 
A,DE1001V,DE069C	57333 	57153 	58350 	59108 	59611 	60088 	60865 	61283 	61221 	: 
A,DE1001V,DE070C	57328 	57448 	57687 	58465 	58736 	59060 	59646 	59967 	60388 	: 
A,DE1001V,DE071C	54242 	54042 	54193 	55255 	55904 	56391 	56324 	55980 	55784 	: 
A,DE1001V,DE072C	54109 	54285 	54631 	55709 	56115 	55873 	55767 	55847 	55590 	: 
A,DE1001V,DE073C	53888 	54969 	55689 	57237 	56978 	57727 	58707 	58978 	58841 	: 
A,DE1001V,DE074C	52098 	51851 	51610 	51969 	52724 	53437 	54032 	53426 	53319 	: 
A,DE1001V,DE075C	55771 	56445 	56685 	57286 	57985 	58886 	59382 	59232 	59282 	: 
A,DE1001V,DE076C	51063 	51135 	51262 	51649 	52446 	52828 	52954 	52955 	53188 	: 
A,DE1001V,DE077C	49764 	49740 	49855 	50284 	50551 	50931 	50378 	50561 	50741 	: 
A,DE1001V,DE078C	49038 	49454 	49952 	50566 	51074 	51781 	52469 	52803 	52415 	: 
A,DE1001V,DE079C	84606 	83616 	83061 	82919 	82505 	82111 	81237 	80103 	79354 	: 
A,DE1001V,DE080C	486816 	486855 	485465 	491231 	499845 	498110 	498590 	498686 	495885 	: 
A,DE1001V,DE081C	294627 	296690 	299844 	305780 	304781 	307997 	309370 	310658 	309721 	: 
A,DE1001V,DE082C	257607 	257850 	257651 	260368 	262528 	260305 	260654 	259645 	259105 	: 
A,DE1001V,DE083C	296599 	299708 	302178 	310039 	311846 	313559 	314319 	315293 	316403 	: 
A,DE1001V,DE084C	241210 	242022 	243521 	248645 	246353 	246855 	247237 	246334 	244401 	: 
A,DE1001V,DE085C	245798 	247227 	248502 	251364 	248667 	248023 	248292 	249406 	248561 	: 
A,DE1001V,DE086C	240086 	241683 	243336 	245885 	244951 	246272 	247380 	248960 	248878 	: 
A,DE1001V,DE087C	222026 	222058 	222500 	225144 	226812 	226699 	227020 	227417 	226844 	: 
A,DE1001V,DE088C	210005 	209097 	209292 	210934 	211382 	211422 	210829 	210764 	209566 	: 
A,DE1001V,DE089C	211713 	212958 	214420 	216253 	216712 	216318 	217198 	216530 	215846 	: 
A,DE1001V,DE090C	186243 	185996 	186716 	189044 	188266 	187730 	188814 	188686 	188687 	: 
A,DE1001V,DE091C	192874 	194087 	194747 	197984 	199062 	200736 	201585 	202137 	201048 	: 
A,DE1001V,DE092C	176440 	176048 	176580 	179397 	179571 	179185 	179111 	179916 	178967 	: 
A,DE1001V,DE093C	154563 	154417 	154608 	155851 	156774 	156490 	156374 	156449 	156940 	: 
A,DE1001V,DE094C	155316 	155768 	156771 	158726 	158908 	158803 	159360 	159245 	159193 	: 
A,DE1001V,DE095C	155625 	156315 	156897 	162403 	164070 	164374 	164748 	165251 	164223 	: 
A,DE1001V,DE096C	160179 	161518 	163832 	164718 	166621 	168497 	171061 	172253 	172557 	: 
A,DE1001V,DE097C	159926 	160819 	161540 	163487 	163113 	163577 	163838 	163729 	163905 	: 
A,DE1001V,DE098C	158658 	159610 	160907 	163830 	165711 	167081 	168210 	169077 	169605 	: 
A,DE1001V,DE099C	151486 	152252 	152644 	155414 	152882 	153810 	153796 	153896 	153109 	: 
A,DE1001V,DE100C	150335 	152113 	154715 	156267 	159914 	160601 	160355 	161485 	158741 	: 
A,DE1001V,DE101C	143575 	143659 	145176 	148126 	148677 	149075 	150580 	151633 	151864 	: 
A,DE1001V,DE102C	124577 	124698 	124219 	124873 	126010 	126635 	127880 	127934 	126954 	: 
A,DE1001V,DE103C	115385 	115320 	114147 	114330 	114003 	113360 	112267 	111397 	110705 	: 
A,DE1001V,DE104C	121758 	122457 	123027 	124045 	123909 	123914 	124151 	124371 	123840 	: 
A,DE1001V,DE105C	108323 	108844 	110121 	114025 	113034 	113026 	113634 	113643 	113557 	: 
A,DE1001V,DE106C	116498 	116055 	116017 	117143 	117409 	117364 	117383 	117565 	117388 	: 
A,DE1001V,DE107C	117531 	118122 	119841 	122567 	123771 	125113 	125960 	126592 	126458 	: 
A,DE1001V,DE108C	109352 	108955 	109009 	109499 	110611 	110584 	110994 	111338 	111516 	: 
A,DE1001V,DE109C	116945 	119203 	120988 	123734 	124589 	126658 	128744 	130280 	130892 	: 
A,DE1001V,DE110C	117977 	119218 	120714 	122636 	123953 	125596 	126329 	126790 	126405 	: 
A,DE1001V,DE111C	116425 	117754 	119291 	122247 	123493 	124289 	125542 	125957 	126016 	: 
A,DE1001V,DE112C	127886 	129136 	131002 	132438 	133639 	135244 	136981 	137392 	136952 	: 
A,DE1001V,DE113C	95384 	94977 	94492 	96011 	94750 	94859 	94152 	93125 	92126 	: 
A,DE1001V,DE114C	98095 	98197 	98966 	101079 	103668 	104548 	104948 	104291 	103866 	: 
