social_timezone,utc_sun_timezone_offset,mean_longitudinal_diff_km,mercantor_x,mercantor_y,iso_a2,pop_est,name,pop_norm,dst,pop_percent,weights,weighted_mean_longdiff,norm_weighted_mean_longdiff
CET,1,1084.9439973333335,1605366.5962207143,6461437.108916923,CZ,10669709.0,Czechia,0.1217968661216537,True,0.023869093773932103,0.1217968661216537,132.14277879269983,0.07945981977445532
CET,1,1467.6027706666666,1490441.0663704798,6894157.660591816,DE,83132799.0,Germany,1.0,True,0.18597551020561565,1.0,1467.6027706666666,0.8824958330913122
CET,1,1527.8665786666668,1399294.0588025823,7496302.428060968,DK,5818553.0,Denmark,0.06300417039017521,True,0.013016623713504647,0.06300417039017521,96.26196625576871,0.057884044513831924
EET,2,1475.73428,2754641.854307759,8275492.056041921,EE,1326590.0,Estonia,0.008564648367783156,True,0.0029677005351842855,0.008564648367783156,12.63914519248365,0.007600144391343816
EET,2,1568.69156,2826552.764810986,4207060.853774764,EL,10716322.0,Greece,0.12236178382913034,True,0.023973371225930493,0.12236178382913034,191.94789755930123,0.11542170889318612
CET,1,2450.732949333333,-412280.91801087913,4926682.735486276,ES,47076781.0,Spain,0.5630257003562218,True,0.10531497159518269,0.5630257003562218,1379.8256351844689,0.8297138692983826
EET,2,1643.7326213333333,2776613.9284212994,8437122.0442501,FI,5520314.0,Finland,0.05938971750878768,True,0.012349436383649284,0.05938971750878768,97.62081604096574,0.058701145228822166
CET,1,2065.3238560000004,261421.74596325192,6250039.040108086,FR,67059887.0,France,0.805207289822296,True,0.15001896783429525,0.805207289822296,1663.0138246950942,0.9999999999999999
CET,1,1150.81585662417,1776907.479898766,5755168.145297948,HR,4067500.0,Croatia,0.0417826045945808,True,0.009099361465759641,0.0417826045945808,48.08408389850149,0.028913820910248585
CET,1,761.1684799999999,2119541.0160099976,6023724.750456663,HU,9769949.0,Hungary,0.1108923897635743,True,0.02185625014211111,0.1108923897635743,84.4077917599074,0.05075591706243522
WET,0,1700.844744,-696922.2733570932,7047886.974036734,IE,4941444.0,Ireland,0.052374208673763425,True,0.011054452395527764,0.052374208673763425,89.08039754392973,0.053565638614136116
CET,1,1442.097744,1022985.4442482484,5694897.822928025,IT,60297396.0,Italy,0.723250519982311,True,0.13489067034985852,0.723250519982311,1042.9979432133175,0.6271733449988284
EET,2,1724.7349413333334,2814480.789423604,7301363.458578539,LT,2786844.0,Lithuania,0.026261928997941084,True,0.006234419398815847,0.026261928997941084,45.294866569564086,0.027236614571059675
CET,1,1909.6160800000002,682366.1033451175,6379226.017344054,LU,619896.0,Luxembourg,0.0,True,0.0013867628211871022,0.0,0.0,0.0
EET,2,1689.9144373333331,2683376.87514986,7749783.027220631,LV,1912789.0,Latvia,0.01566897967460919,True,0.004279080152115284,0.01566897967460919,26.479234970404622,0.015922438272730214
CET,1,2035.1586799999998,498460.8498995808,6786475.184192568,NL,17332850.0,Netherlands,0.20254958185145905,True,0.03877513641838771,0.20254958185145905,412.2205396353673,0.24787559400532702
CET,1,789.3180693333334,2338457.9191023805,6842175.610015434,PL,37970874.0,Poland,0.4526683299459237,True,0.08494424282650637,0.4526683299459237,357.29929224126084,0.2148504642207469
WET,0,1923.612808,-1017080.7578939479,4679895.405438774,PT,10269417.0,Portugal,0.11694560061715438,True,0.022973604751227283,0.11694560061715438,224.9580551864109,0.13527130793855902
EET,2,1602.3416,2905741.5209832964,5533186.02091626,RO,19356544.0,Romania,0.2270753702605761,True,0.04330232097944216,0.2270753702605761,363.8523121039239,0.2187909124391281
CET,1,1252.3128746666669,2011664.926497636,8250991.480498332,SE,10285453.0,Sweden,0.11713994597911552,True,0.023009478718151663,0.11713994597911552,146.6958624874042,0.08821084966885359
CET,1,1193.8994280000002,1614903.9381222243,5788369.677457456,SI,2087946.0,Slovenia,0.017791762822839962,True,0.004670922034415975,0.017791762822839962,21.2415754573003,0.01277293979272532
CET,1,810.7147760000001,1904599.2651421477,6132129.317628115,SK,5454073.0,Slovakia,0.0585869218539069,True,0.012201249339309179,0.0585869218539069,47.49728322731964,0.02856096715613777
